,_id.$oid,bonusPointsEarned,bonusPointsEarnedReason,createDate.$date,dateScanned.$date,finishedDate.$date,modifyDate.$date,pointsAwardedDate.$date,pointsEarned,purchaseDate.$date,purchasedItemCount,rewardsReceiptItemList.barcode,rewardsReceiptItemList.description,rewardsReceiptItemList.finalPrice,rewardsReceiptItemList.itemPrice,rewardsReceiptItemList.needsFetchReview,rewardsReceiptItemList.partnerItemId,rewardsReceiptItemList.preventTargetGapPoints,rewardsReceiptItemList.quantityPurchased,rewardsReceiptItemList.userFlaggedBarcode,rewardsReceiptItemList.userFlaggedNewItem,rewardsReceiptItemList.userFlaggedPrice,rewardsReceiptItemList.userFlaggedQuantity,rewardsReceiptItemList.needsFetchReviewReason,rewardsReceiptItemList.pointsNotAwardedReason,rewardsReceiptItemList.pointsPayerId,rewardsReceiptItemList.rewardsGroup,rewardsReceiptItemList.rewardsProductPartnerId,rewardsReceiptItemList.userFlaggedDescription,rewardsReceiptItemList.originalMetaBriteBarcode,rewardsReceiptItemList.originalMetaBriteDescription,rewardsReceiptItemList.brandCode,rewardsReceiptItemList.competitorRewardsGroup,rewardsReceiptItemList.discountedItemPrice,rewardsReceiptItemList.originalReceiptItemText,rewardsReceiptItemList.itemNumber,rewardsReceiptItemList.originalMetaBriteQuantityPurchased,rewardsReceiptItemList.pointsEarned,rewardsReceiptItemList.targetPrice,rewardsReceiptItemList.competitiveProduct,rewardsReceiptItemList.originalFinalPrice,rewardsReceiptItemList.originalMetaBriteItemPrice,rewardsReceiptItemList.deleted,rewardsReceiptItemList.priceAfterCoupon,rewardsReceiptItemList.metabriteCampaignId,rewardsReceiptStatus,totalSpent,userId,BrandKey
500,6011f4380a720f05350000b9,5,All-receipts receipt bonus,1.61179E+12,1.61179E+12,,1.61179E+12,1.61179E+12,5,1.6117E+12,1,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAGGED,1,6011f31ea4b74c18d3a8c476,4011ITEM NOT FOUND
501,6010be180a7214ada200005d,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61171E+12,1.61171E+12,,1.61171E+12,1.61171E+12,750,1.61162E+12,1,75925306254,,1,1,,1,,1,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,,,TRUE,,,,,,FLAGGED,1,6010be18a4b74c120bd19e43,75925306254
502,6010bdef0a720f0535000053,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,760,1.61162E+12,1,79400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,FALSE,1,TRUE,1,79400066619,,,,,,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,,80878042197,,,,,,,,10,800,TRUE,,,,,,FINISHED,1,6010bddaa4b74c120bd19dfb,079400066619SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612
503,6010bdfd0a720f0535000055,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,400,1.6111E+12,1,2.70071E+12,KNORR PASTA SIDES BUTTER PASTA SIDE DISH POUCH 4.5 OZ,10,10,,0,,1,,,,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100,,,,,,,,FINISHED,10,6010bddaa4b74c120bd19dfb,2700710686201KNORR PASTA SIDES BUTTER PASTA SIDE DISH POUCH 4.5 OZ
504,6010be0a0a7214ada200005b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,1.61171E+12,250,1.6111E+12,1,2.70071E+12,KNORR PASTA SIDES BUTTER PASTA SIDE DISH POUCH 4.5 OZ,10,10,,0,,1,,,,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100,,,,,,,,FINISHED,10,6010bddaa4b74c120bd19dfb,2700710686201KNORR PASTA SIDES BUTTER PASTA SIDE DISH POUCH 4.5 OZ
505,5fa8d5790a7214adc30001c4,5,All-receipts receipt bonus,1.6049E+12,1.6049E+12,1.61171E+12,1.61171E+12,1.61171E+12,95,1.60481E+12,6,75925306254,,1,1,FALSE,1,,1,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,,,TRUE,,,,,,FINISHED,14,5fa8d542b055fd1dfdf09517,75925306254
506,60118bd30a720f0535000062,5,All-receipts receipt bonus,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1005,1.61168E+12,2,4011,ITEM NOT FOUND,1,1,FALSE,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,FINISHED,11,54943462e4b07e684157a532,4011ITEM NOT FOUND
507,6011f3390a720f05350000af,5,All-receipts receipt bonus,1.61179E+12,1.61179E+12,1.61179E+12,1.61179E+12,1.61179E+12,5,1.61171E+12,1,4011,ITEM NOT FOUND,29,29,FALSE,1,TRUE,1,4011,TRUE,29,1,,,,,,,,,,,,,,,,,,,,,,,FINISHED,29,6011f33173c60b1804ce1102,4011ITEM NOT FOUND
508,6010be1c0a720f0535000057,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61171E+12,1.61171E+12,,1.61171E+12,1.61171E+12,810,1.61162E+12,5,75925306254,,1,1,,1,,1,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,,,TRUE,,,,,,FLAGGED,13,6010be1c73c60b1204904079,75925306254
509,60118c340a720f0535000073,5,All-receipts receipt bonus,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,1.61176E+12,5,1.61176E+12,1,,MSSN TORTLLA,2.23,2.23,,1009,,1,,,,,,,,,,,,,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,,,,,,,,,,,FINISHED,2.23,60118bcfa4b74c18d3a8c0d7,MSSN TORTLLA
