,barcode,brandcode,rewardsReceiptItemList.finalPrice,rewardsReceiptItemList.itemPrice,rewardsReceiptItemList.needsFetchReview,rewardsReceiptItemList.partnerItemId,rewardsReceiptItemList.preventTargetGapPoints,rewardsReceiptItemList.quantityPurchased,rewardsReceiptItemList.userFlaggedBarcode,rewardsReceiptItemList.userFlaggedNewItem,rewardsReceiptItemList.userFlaggedPrice,rewardsReceiptItemList.userFlaggedQuantity,rewardsReceiptItemList.needsFetchReviewReason,rewardsReceiptItemList.pointsNotAwardedReason,rewardsReceiptItemList.pointsPayerId,rewardsReceiptItemList.rewardsGroup,rewardsReceiptItemList.rewardsProductPartnerId,rewardsReceiptItemList.userFlaggedDescription,rewardsReceiptItemList.originalMetaBriteBarcode,rewardsReceiptItemList.originalMetaBriteDescription,rewardsReceiptItemList.brandCode,rewardsReceiptItemList.competitorRewardsGroup,rewardsReceiptItemList.discountedItemPrice,rewardsReceiptItemList.originalReceiptItemText,rewardsReceiptItemList.itemNumber,rewardsReceiptItemList.originalMetaBriteQuantityPurchased,rewardsReceiptItemList.pointsEarned,rewardsReceiptItemList.targetPrice,rewardsReceiptItemList.competitiveProduct,rewardsReceiptItemList.originalFinalPrice,rewardsReceiptItemList.originalMetaBriteItemPrice,rewardsReceiptItemList.deleted,rewardsReceiptItemList.priceAfterCoupon,rewardsReceiptItemList.metabriteCampaignId,_id.$oid,category,categoryCode,cpg.$id.$oid,cpg.$ref,name,topBrand
975,511111314653,BAYER® ASPIRIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ec2dde7be37ce5234ec36bb,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Cogs,Bayer® Aspirin,False
976,511111315162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f19e062be37ce33f74a1675,Baking,BAKING,5f19e062be37ce33f74a1674,Cogs,test brand @1595531362667,
977,511111315230,AIR WICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f21c54abe37ce7958c59528,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,5f10c05cbe37ce238c6cabaf,Cogs,AIR WICK®,False
978,511111315391,TEST BRANDCODE @1597350074997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f35a0babe37ce6853cff202,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1597350074997,
979,511111315445,TEST BRANDCODE @1597527951436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f38578fbe37ce5178517ad6,Baking,BAKING,5f38578fbe37ce5178517ad3,Cogs,test brand @1597527951436,
980,511111315513,TEST BRANDCODE @1597861700968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f3d6f44be37ce4ddbb1bb3e,Baking,BAKING,5f3d6f44be37ce4ddbb1bb3a,Cogs,test brand @1597861700968,
981,511111315674,TEST BRANDCODE @1598042673502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f403231be37ce5f78d9ed17,Baking,BAKING,5f403231be37ce5f78d9ed14,Cogs,test brand @1598042673502,
982,511111315728,TEST BRANDCODE @1598290603587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f43faabbe37ce3ef3fd3716,Baking,BAKING,5f43faabbe37ce3ef3fd3714,Cogs,test brand @1598290603587,
983,511111315889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4802d2be37ce0c83033743,Baking,BAKING,5f4802d2be37ce0c83033742,Cogs,test brand @1598554834882,
984,511111315957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4936ddbe37ce52f8314fd9,Baking,BAKING,5f4936dcbe37ce52f8314fd8,Cogs,test brand @1598633693011,
